,Text,Class
0, rt mayasolov woman shouldnt complain clean hous amp man alway take trash,NOT
1, rt  boy dat coldtyga dwn bad cuffin dat hoe  place,OFF
2, rt urkindofbrand dawg rt  ever fuck bitch start cri confus shit,OFF
3, rt cganderson vivabas look like tranni,OFF
4, rt shenikarobert shit hear might true might faker bitch told ya ,OFF
5,tmadisonx shit blow meclaim faith somebodi still fuck hoe ,OFF
6,brighterday sit hate anoth bitch  got much shit go,OFF
7, caus im tire big bitch come us skinni ,OFF
8, amp might get ya bitch back amp that ,OFF
9, rhythmixx hobbi includ fight mariambitch,OFF
10, keek bitch curv everyon  lol walk convers like smh,OFF
11, murda gang bitch gang land ,OFF
12, hoe smoke loser   yea  go ig,OFF
13, bad bitch thing like ,OFF
14, bitch get ,OFF
15, bitch nigga miss ,OFF
16, bitch plz whatev ,OFF
17, bitch love ,OFF
18, bitch get cut everyday b ,OFF
19, black bottl amp bad bitch ,OFF
20, broke bitch cant tell noth ,OFF
21, cancel bitch like nino ,OFF
22, cant see hoe wont chang ,OFF
23, fuck bitch dont even suck dick   kermit video bout fuck ig,OFF
24, got ya bitch tip toe hardwood floor   ,OFF
25, pussi lip like heaven door  ,OFF
26, hoe hit ,OFF
27, met pussi ocean dr  gave pussi pill  ,OFF
28, need trippi bitch fuck hennessi ,OFF
29, spend money want bitch busi ,OFF
30, txt old bitch new bitch pussi wetter ,OFF
31, id say im back old old bitch would get excit  ,OFF
32, aint bout murder game pussi nigga shut ,OFF
33, your toe aint done pussi stink ,OFF
34, im done bitter bitch wrap  angri bird there app ,OFF
35, ya bitch ,OFF
36, aint noth cut bitch ,OFF
37, jus meet son ya mane ass bitch  shot,OFF
38, lame cri hoe that tear clown ,OFF
39, like snoop said  dont love hoe ,OFF
40, momma said pussi cat insid doghous ,NOT
41, hate hoe favorit   sevenon  ,OFF
42, nice girl bad make get naughti bad yello hoe real nice bodi south chick like em real thick ,OFF
43, pimp pimp hoe  futur voic,OFF
44, post pictur pussi get  like ,OFF
45, pussi power drug   happyhumpday ,OFF
46, quick piec pussi call drive ,OFF
47, run round like brand new pussi that bout get fuck ,OFF
48, bitch even worst theyll send guy ,OFF
49, hoe like nigga spend money talk bout ,OFF
50, dont trust nigga bitch ,OFF
51, yall nigga b cuf hoe caus yall aint never bitch ,OFF
52, dodg bullet    da bitch cut pregnant bound thank god ,OFF
53, young pill chamberlain bitch love music ,OFF
54, teanna trump probabl cleaner twitter hoe,OFF
55, gay nigga couldnt wait act like bitch tonight,OFF
56, ima steal cat n replac pitbul  rt  theparadox bitch,OFF
57,amp hes gone alway hoe,OFF
58,son bitch took tic tacsi like movi,OFF
59,wanna get money fuck model bitch  russel simmon,OFF
60, probabl  mind school much  deal bitch ass teacher retweet,OFF
61, im fuck fag said,OFF
62,arizzleindacut femal think date pussi cute  stuff make pussi,OFF
63, simplyaddictedtoguy  woof woof hot scalli lad,NOT
64,adorebellaaa ya ever ask bitch bitch  kany voic yes,OFF
65,adorezoey u gone bring ur side bitch game know ya gf friend   swear,OFF
66,allaboutmanfeet  woof woof hot sole,NOT
67,allyhaaaaa lemmi eat oreo amp dish one oreo lol,NOT
68,almightywayn jetsandaswish gook bitch fuck u  mayb youll get better ,OFF
69,almightywayn fuck red malon man bitch ass niggah could pleas use complet sentenc,OFF
70, eggplant emoji doey say look like scream lmao,NOT
71,autoworid hennessey venom gt   that one sexi bitch,OFF
72,bossbytchh seh pussi wetter shower curtainahmesehwetnessltlmao,OFF
73, eaglesn everi eagl need see pic post bitch said racist shit,OFF
74,bvsedchink yo fuck skateboard yall wood push faggot man ball life amjemiebenn,OFF
75,babyanimalp babi monkey bathtim awwww soooo ador,NOT
76,baylaagottabodi  aint shit  damn skippi lol,OFF
77,beeasyjrizzi u ever kill ant sidewalk think damn nigga way get pussyno bs must b ,OFF
78,beenbasedb kudabrazyy   ring  mvps  bitch lol,OFF
79,beenflynsolo ppl talk bad ghettohood  kid grow nigga funnnnnnn ,OFF
80,bestproadvic fact tattoostattoo  hes pussi tattoo nippl,OFF
81,  rt nelayden bitch want act like nigga bad  shit aint cuteeee nigga act like bitch,OFF
82, get worship bitch  woof woof,OFF
83,blackchiquitita wow rt thatmanpalm im lost buttcheek pierc  yeah shes hoe,OFF
84,blacknerdjad ok sis shed rather broke bitch shrug shell tell work,OFF
85, whalelookyher  queer gaywad,OFF
86,brokenpiecesmsc itsnotadam faggot read tweet dat k wasnt even funni lol,OFF
87,brosconfess bitch ungrat  fr  lulwhor,OFF
88,cashandboobi kidnap yo bitch,OFF
89, whitethunduh alsarabsss hes beaner smh tell hes mexican,OFF
90,ccobey aydanmccoy happi birthday nig thank yo,OFF
91,chlldhoodruin ur teacher tell u u homework  bitch need go,OFF
92,   nigga eat hoe lol hell yea lol john paul nigga said john paul ,OFF
93,canifuckornah would yall lil ugli bald head bitch stop make makeup amp weav,OFF
94, leaf better win damn game go riot shit earlychristma better start loot nig,OFF
95,causewereguy go back school suck dick hoe attend,OFF
96,causewereguy way fuck yo bitch   year old,OFF
97,celeynichol whitethunduh come never bring food dont car retard,OFF
98,chadmfverbeck richnow doesnt show hella tinder hoe im friend anymor chill brought like like  propl,OFF
99,chandlerparson bout cowboy shutup pussi,OFF
100,clicquotsuav lmaooooooooooo nigga krillznuhcar  ltbitch want like depress shitfoh,OFF
101,coleyce lilaerii girl know spit g shit amp go lbvsbitch plz,OFF
102,coleyce let make coupl tweet cuzzo page wont get twitter jaillmao bitch dont trick,OFF
103,comedypost harlem shake excus go full retard  second,OFF
104,comedytruth amen miley   dont need act like hoe bc shes emot damag foh,OFF
105,corybandz one loyal femal wayyyyy better hoe  idc ,OFF
106,crhedri pussi lick pussi meow meow   ,OFF
107,dbabholloway check  man cowboysn even faggot ny fan stand,OFF
108,dgotbrick happen vixen ent bitch got ran threw side like foothil bitch,OFF
109,daedavidavi whitethunduh im bitch okay nude pat  wow,OFF
110,devilgrimz vigxrart your fuck gay blacklist hoe hold tehgodclan anyway ,OFF
111,diamondloudkush fuck wrong bitch nobodi know,OFF
112, yall shut upp make bitch,OFF
113,dionairish hate im pregnant type bitch,OFF
114,doyouq got bitch dm dont ever readem top ,OFF
115,domworldpeac basebal season win yanke love start,NOT
116,dommoneek littl stupid bitch dont fuck yoooooouuuu,OFF
117,dreadheadari realli ask dead ass serious tho could say bitch wheet lol,OFF
118,dunderbail im earli bird im night owl im wise worm,NOT
119,edgarpixar overdos heavi drug doesnt sound bad tonight pussi shit everi day,NOT
120, pit bull photograph love fairi tale creatur fairi tale creatur,NOT
121,ferociousghost  aw fag dont tweet aw lol,OFF
122, long laker trash could careless that real cc benbal hahaha,NOT
123,frosstyy  didnt say anyth tho kiss faggot,OFF
124,funnypicsdepot play soccer cheat girl wear khaki colour cargo haircut   yup,NOT
125, could go fat ass bitch lap,OFF
126,gedmell  miss call  yo po bitch twitter finna screamn freemoneymell,OFF
127,gtmal ya side bitch gotta know rule shitanybodi ask cousin jersey thinkin bout move lmmfao ,OFF
128,    amo los pie  fuck yeah,OFF
129,girlthatsvont hoe think meat wont slap ass  ainna bruh,OFF
130,girlthatsvont yall bitch wit edg talk ,OFF
131,girlthatsvont yall still go trick treat year nahhel yeah ima da sweet tooth bandit steal bitch bag n shit,OFF
132,girllssu wanna sex mom fuck right pussi came damn got hack like fuck,OFF
133, kiss u eye open watch bitchlmfao,OFF
134,goofstroop woulda coulda shoulda ass hoe ,OFF
135,gottiltf happi bday bitch ass nigga jetsandaswisherpreci bitch roll,OFF
136,hbmostdop  pipinho use send bitch,OFF
137,hbmostdop ugli bitch like im wcw duh bitch aint nobodi ,OFF
138,halotgmg  nigga know hacki sack hoe nah throw look pass lmao,OFF
139,heartlessfuck glad im get outta atlanta noth bunch nigga amp outta jail amp dumb bitch mad kid fuckin em,OFF
140,hermosaalma isnt ghettoit smart  im idc,NOT
141,hiimjorib would wife hoe cuz wouldnt care cheat forc relationship first place,OFF
142,hornyfact singl isnt excus hoe theonemissluu,OFF
143, white boy power bitch black power bitch,OFF
144, let get drunk get blow spit shit spark blunt amp fuck hoe bro white dude chill,OFF
145,iscoutgirl verballyabrupt bitch u around world back,OFF
146,itsyahboiray anelylov dont get dick suck yo parti bad bitch im fr gone set  anelylov ,OFF
147,itsyesi oomf soooo cute probabl hoe lot,OFF
148, everi cartoon alway  save hoe lmao  lmao damn captain saveaho,OFF
149,jreebo want get nose bad boi scalli chav sockfetish stink  hot sox leg,NOT
150,jamesynba wish bitch like brother keezi  ooooow bet,OFF
151,jasminepor dress cat halloween basic pussi,OFF
152,jewelxo pornhub get game stream featur dumb bitch gtfo pornhub get ,OFF
153,joebudden stop scare choke sex u bitch ass nigga  like say guy hit women bed foh,OFF
154, whitethunduh ha well iguess make hoe loyal bro theyll never loyal hoe nig,OFF
155,kazatta  oh man  molli ho fuck ya seed fix,OFF
156,kelsiebelsi your man refer everi girl bitch,OFF
157,keyshawnswag lmfao cat start beat shit nigga final got pussi nigga,OFF
158,keyshawnswag peel peel bring back rewind back im move shaq line ooooow tf said trash,NOT
159,kingcuh  io io alu record ho vine sai pe hahahaha lol anywaaaaaay haha,OFF
160, vondreaam naw old tape new cover  upcom mixtap kingofthehil yeah im wait hoe mayn,OFF
161,kingteej ol dirti foot ass bitch funni,OFF
162, whitethunduh that get yellow flag amaz  hell yeah niggi,OFF
163,kissmysmile dont got time bitch actin iffi,OFF
164,knightfann ucfpinkparti come stay aliv knight nation still earli bird special comeatmeut,NOT
165,kyranadiya hoe aint loyal  aint smfh amp wonder nobodi decent want,OFF
166,lcistj bruh stud keep think im soft hell ask ya girl mani time scream bitch oh okay stfu bye hoe,OFF
167,lodycash dri pussi bitch alway blame ,OFF
168,lunarap shut yo bitch ass  ,OFF
169,laflaregodjosh gucci mane jail drop mixtap everi month hoe cant even text back,OFF
170,latrobemark love hoe money wat wrong nigga,OFF
171,lebronvuitton loyal bitch burb without daddi issu like find holograph mewtwo sound like lol,OFF
172,lilfridayho easi cum easi hoe that fact ,OFF
173,lifeasbro charli sheen real  major fuck respect charli sheen,OFF
174,lightskingawdd wish bae  got hoe tho,OFF
175, fuck twerk bitch cook ,OFF
176,linniekravitz wesgodlaflar bitch wtf ,OFF
177,lipethegreat  lipethegreat shut zoe fight  zoe im good man good maam move along,OFF
178,lolaaisdop lmao fuck snake bitch  em,OFF
179,loveableaizah big booti hoe everywher sheesh  damn ,OFF
180,mlbnetwork stay tune mlbnetwork updat report yanke    week  bum,NOT
181,mrad  play soccer cheat girl wear khaki colour cargo haircut  yes ,NOT
182,madflyentist oregon choke everi year get field trash ass program rft,OFF
183,mannydiesel def cowboy lol rt artoffloyd terrel owen best eagl amp cowboy ever dude cri like bitch tv romo,OFF
